code,title,description,language
SEC,Bezpiecze?stwo,,pl
SEC,Sicherheit,,de
SEC,S�curit�,,fr
SEC,Security,,en
SEC,Sicurezza,,it
SEC,Seguridad,,es
SOC,Nauki spo?eczne i humanistyczne,,pl
SOC,Sozial- und Geisteswissenschaften,,de
SOC,Sciences sociales et humaines,,fr
SOC,Social sciences and humanities,Social sciences; use of human resources; ergonomics; social implications of new technology; social effects of technology.,en
SOC,Scienze sociali e umanistiche,,it
SOC,Ciencias sociales y humanidades,,es
SPA,Przestrze? kosmiczna i badania satelitarne,,pl
SPA,Weltraum- und Satellitenforschung,,de
SPA,Recherche spatiale et par satellite,,fr
SPA,Space and satellite research,,en
SPA,Ricerca spaziale e satellitare,,it
SPA,Investigaci�n sobre el espacio y sat�lites,,es
STA,Standardy,,pl
STA,Normen and Standards,,de
STA,Normalisation,,fr
STA,Standards,"Technical standards; quality standards; national and international standards; harmonization of standards. (See also ""Reference Materials"")",en
STA,Standard,,it
STA,Normas,,es
TEC,Inne technologie,,pl
TEC,Sonstige Technik,,de
TEC,Autres technologies,,fr
TEC,Other Technology,Textile technology; laser technology; membrane technology; vacuum engineering; hydraulics; particle technology; other specific technologies not included elsewhere.,en
TEC,Altre tecnologie,,it
TEC,Otras tecnolog�as,,es
TEL,Telekomunikacja,,pl
TEL,Telekommunikation,,de
TEL,T�l�communications,,fr
TEL,Telecommunications,Communication systems based on electromagnetic waves; radio and television equipment and transmissions; high-definition television (HDTV); satellite communications; integrated broadband communications (IBC); remote sensing; radar; network value-added ser...,en
TEL,Telecomunicazioni,,it
TEL,Telecomunicaciones,,es
TRA,Transport,,pl
TRA,Verkehr,,de
TRA,Transports,,fr
TRA,Transport,"Road;track and rail transport; design of vehicles and systems; transportation by sea and inland waterways; air transportation; pipelines; transport infrastructure; prototypes;trial and pilot schemes. (For transportation of hazardous materials see ""Safe...",en
TRA,Trasporti,,it
TRA,Transportes,,es
VAS,Weterynaria i nauki o zwierz?tach,,pl
VAS,Veterin�r - und Tierwissenschaften,,de
VAS,Sciences v�t�rinaires et des animaux,,fr
VAS,Veterinary and animal sciences,,en
VAS,Scienze veterinarie e degli animali,,it
VAS,Ciencias veterinarias y de los animales,,es
WAS,Gospodarka odpadami,,pl
WAS,Abfallwirtschaft,,de
WAS,Gestion des d�chets,,fr
WAS,Waste Management,"Non-nuclear waste (for other types see ""Radioactive Waste""); recycling;recovery and reclamation; incineration and pyrolysis; land and sea disposal; bioconversion; landfill; industrial waste; energy from waste.",en
WAS,Gestione dei rifiuti,,it
WAS,Gesti�n de residuos,,es
WAT,Zasoby wodne i gospodarowanie nimi,,pl
WAT,Wasserressourcen und Wasserbewirtschaftung,,de
WAT,Ressources en eau et gestion,,fr
WAT,Water resources and management,,en
WAT,Risorse idriche e gestione,,it
WAT,Recursos h�dricos y gesti�n,,es
